season,week,team,conference,division,off_injury_adj,def_injury_adj
2026,7,MIN,NFC,NFC North,0,0
2026,7,NE,AFC,AFC East,0,0
2026,7,NO,NFC,NFC South,0,0
2026,7,NYG,NFC,NFC East,0,0
2026,7,NYJ,AFC,AFC East,0,0
2026,7,PHI,NFC,NFC East,0,0
2026,7,PIT,AFC,AFC North,0,0
2026,7,SEA,NFC,NFC West,0,0
2026,7,SF,NFC,NFC West,0,0
2026,7,TB,NFC,NFC South,0,0
2026,7,TEN,AFC,AFC South,0,0
2026,7,WAS,NFC,NFC East,0,0
2026,8,ARI,NFC,NFC West,0,0
2026,8,ATL,NFC,NFC South,0,0
2026,8,BAL,AFC,AFC North,0,0
2026,8,BUF,AFC,AFC East,0,0
2026,8,CAR,NFC,NFC South,0,0
2026,8,CHI,NFC,NFC North,0,0
2026,8,CIN,AFC,AFC North,0,0
2026,8,CLE,AFC,AFC North,0,0
2026,8,DAL,NFC,NFC East,0,0
2026,8,DEN,AFC,AFC West,0,0
2026,8,DET,NFC,NFC North,0,0
2026,8,GB,NFC,NFC North,0,0
2026,8,HOU,AFC,AFC South,0,0
2026,8,IND,AFC,AFC South,0,0
2026,8,JAX,AFC,AFC South,0,0
2026,8,KC,AFC,AFC West,0,0
2026,8,LA,NFC,NFC West,0,0
2026,8,LAC,AFC,AFC West,0,0
2026,8,LV,AFC,AFC West,0,0
2026,8,MIA,AFC,AFC East,0,0
2026,8,MIN,NFC,NFC North,0,0
2026,8,NE,AFC,AFC East,0,0
2026,8,NO,NFC,NFC South,0,0
2026,8,NYG,NFC,NFC East,0,0
2026,8,NYJ,AFC,AFC East,0,0
2026,8,PHI,NFC,NFC East,0,0
2026,8,PIT,AFC,AFC North,0,0
2026,8,SEA,NFC,NFC West,0,0
2026,8,SF,NFC,NFC West,0,0
2026,8,TB,NFC,NFC South,0,0
2026,8,TEN,AFC,AFC South,0,0
2026,8,WAS,NFC,NFC East,0,0
2026,9,ARI,NFC,NFC West,0,0
2026,9,ATL,NFC,NFC South,0,0
2026,9,BAL,AFC,AFC North,0,0
2026,9,BUF,AFC,AFC East,0,0
2026,9,CAR,NFC,NFC South,0,0
2026,9,CHI,NFC,NFC North,0,0
2026,9,CIN,AFC,AFC North,0,0
2026,9,CLE,AFC,AFC North,0,0
2026,9,DAL,NFC,NFC East,0,0
2026,9,DEN,AFC,AFC West,0,0
2026,9,DET,NFC,NFC North,0,0
2026,9,GB,NFC,NFC North,0,0
2026,9,HOU,AFC,AFC South,0,0
2026,9,IND,AFC,AFC South,0,0
2026,9,JAX,AFC,AFC South,0,0
2026,9,KC,AFC,AFC West,0,0
2026,9,LA,NFC,NFC West,0,0
2026,9,LAC,AFC,AFC West,0,0
2026,9,LV,AFC,AFC West,0,0
2026,9,MIA,AFC,AFC East,0,0
2026,9,MIN,NFC,NFC North,0,0
2026,9,NE,AFC,AFC East,0,0
2026,9,NO,NFC,NFC South,0,0
2026,9,NYG,NFC,NFC East,0,0
2026,9,NYJ,AFC,AFC East,0,0
2026,9,PHI,NFC,NFC East,0,0
2026,9,PIT,AFC,AFC North,0,0
2026,9,SEA,NFC,NFC West,0,0
2026,9,SF,NFC,NFC West,0,0
2026,9,TB,NFC,NFC South,0,0
2026,9,TEN,AFC,AFC South,0,0
2026,9,WAS,NFC,NFC East,0,0
2026,10,ARI,NFC,NFC West,0,0
2026,10,ATL,NFC,NFC South,0,0
2026,10,BAL,AFC,AFC North,0,0
2026,10,BUF,AFC,AFC East,0,0
2026,10,CAR,NFC,NFC South,0,0
2026,10,CHI,NFC,NFC North,0,0
2026,10,CIN,AFC,AFC North,0,0
2026,10,CLE,AFC,AFC North,0,0
2026,10,DAL,NFC,NFC East,0,0
2026,10,DEN,AFC,AFC West,0,0
2026,10,DET,NFC,NFC North,0,0
2026,10,GB,NFC,NFC North,0,0
2026,10,HOU,AFC,AFC South,0,0
2026,10,IND,AFC,AFC South,0,0
2026,10,JAX,AFC,AFC South,0,0
2026,10,KC,AFC,AFC West,0,0
2026,10,LA,NFC,NFC West,0,0
2026,10,LAC,AFC,AFC West,0,0
2026,10,LV,AFC,AFC West,0,0
2026,10,MIA,AFC,AFC East,0,0
2026,10,MIN,NFC,NFC North,0,0
2026,10,NE,AFC,AFC East,0,0
2026,10,NO,NFC,NFC South,0,0
2026,10,NYG,NFC,NFC East,0,0
2026,10,NYJ,AFC,AFC East,0,0
2026,10,PHI,NFC,NFC East,0,0
2026,10,PIT,AFC,AFC North,0,0
2026,10,SEA,NFC,NFC West,0,0
2026,10,SF,NFC,NFC West,0,0
2026,10,TB,NFC,NFC South,0,0
2026,10,TEN,AFC,AFC South,0,0
2026,10,WAS,NFC,NFC East,0,0
2026,11,ARI,NFC,NFC West,0,0
2026,11,ATL,NFC,NFC South,0,0
2026,11,BAL,AFC,AFC North,0,0
2026,11,BUF,AFC,AFC East,0,0
2026,11,CAR,NFC,NFC South,0,0
2026,11,CHI,NFC,NFC North,0,0
2026,11,CIN,AFC,AFC North,0,0
2026,11,CLE,AFC,AFC North,0,0
2026,11,DAL,NFC,NFC East,0,0
2026,11,DEN,AFC,AFC West,0,0
2026,11,DET,NFC,NFC North,0,0
2026,11,GB,NFC,NFC North,0,0
2026,11,HOU,AFC,AFC South,0,0
2026,11,IND,AFC,AFC South,0,0
2026,11,JAX,AFC,AFC South,0,0
2026,11,KC,AFC,AFC West,0,0
2026,11,LA,NFC,NFC West,0,0
2026,11,LAC,AFC,AFC West,0,0
2026,11,LV,AFC,AFC West,0,0
2026,11,MIA,AFC,AFC East,0,0
2026,11,MIN,NFC,NFC North,0,0
2026,11,NE,AFC,AFC East,0,0
2026,11,NO,NFC,NFC South,0,0
2026,11,NYG,NFC,NFC East,0,0
2026,11,NYJ,AFC,AFC East,0,0
2026,11,PHI,NFC,NFC East,0,0
2026,11,PIT,AFC,AFC North,0,0
2026,11,SEA,NFC,NFC West,0,0
2026,11,SF,NFC,NFC West,0,0
2026,11,TB,NFC,NFC South,0,0
2026,11,TEN,AFC,AFC South,0,0
2026,11,WAS,NFC,NFC East,0,0
